<http://codes.wmo.int/def/common/code_figure>,<http://codes.wmo.int/def/common/wmoAbbreviation>,<http://codes.wmo.int/def/common/wmoAbbreviationIA2>,<http://codes.wmo.int/def/common/wmoAbbreviationIA5>,@id,dct:definition,rdf:type,rdfs:label,skos:altLabel,skos:notation,skos:prefLabel
'622',kg kg^-1,kg/kg,"",<http://codes.wmo.int/common/unit/kg_kg-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,kilograms per kilogram,kg kg^-1,kg/kg,kilograms per kilogram
'623',kg kg^-1 s^-1,kg kg-1 s-1,"",<http://codes.wmo.int/common/unit/kg_kg-1_s-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,kilograms per kilogram per second,kg kg^-1 s^-1,kg kg-1 s-1,kilograms per kilogram per second
'775',km m^-1,kg/m,"",<http://codes.wmo.int/common/unit/kg_m-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,kilograms per metre,km m^-1,kg/m,kilograms per metre
'624',kg m^-2,kg m-2,"",<http://codes.wmo.int/common/unit/kg_m-2>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,kilograms per square metre,kg m^-2,kg m-2,kilograms per square metre
'776',kg m^-2 s^-1,kg m-2 s-1,"",<http://codes.wmo.int/common/unit/kg_m-2_s-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,kilograms per square metre per second,kg m^-2 s^-1,kg m-2 s-1,kilograms per square metre per second
'777',kg m^-3,kg m-3,"",<http://codes.wmo.int/common/unit/kg_m-3>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,kilograms per cubic metre,kg m^-3,kg m-3,kilograms per cubic metre
'740',km,km,KM,<http://codes.wmo.int/common/unit/km>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,kilometre,km,km,kilometre
'742',km/d,km/d,KM/D,<http://codes.wmo.int/common/unit/km_d-1>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,kilometres per day,km/d,km/d,kilometres per day
'741',km h^-1,km/h,KM/HR,<http://codes.wmo.int/common/unit/km_h-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,kilometres per hour,km h^-1,km/h,kilometres per hour
'201',kt,kt,KT,<http://codes.wmo.int/common/unit/kt>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,knot,kt,kt,knot
'501',kt/1000 m,kt/km,KT/KM,<http://codes.wmo.int/common/unit/kt_km-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,knots per 1000 metres,kt/1000 m,kt/km,knots per 1000 metres
'120',l,l,L,<http://codes.wmo.int/common/unit/l>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,litre,l,l,litre
'070',lm,lm,LM,<http://codes.wmo.int/common/unit/lm>,cd sr,skos:Concept|<http://codes.wmo.int/def/common/Unit>,lumen,lm,lm,lumen
'772',log (m^-1),log (m-1),"",<http://codes.wmo.int/common/unit/log_(m-1)>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,logarithm per metre,log (m^-1),log (m-1),logarithm per metre
'773',log (m^-2),log (m-2),"",<http://codes.wmo.int/common/unit/log_(m-2)>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,logarithm per square metre,log (m^-2),log (m-2),logarithm per square metre
'071',lx,lx,LX,<http://codes.wmo.int/common/unit/lx>,cd sr m^-2,<http://codes.wmo.int/def/common/Unit>|skos:Concept,lux,lx,lx,lux
'001',m,m,M,<http://codes.wmo.int/common/unit/m>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,metre,m,m,metre
'743',m^-1,m-1,/M,<http://codes.wmo.int/common/unit/m-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,per metre,m^-1,m-1,per metre
'734',m^2,m2,M2,<http://codes.wmo.int/common/unit/m2>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,square metres,m^2,m2,square metres
'769',m^2/3 s^-1,m2/3 s-1,"",<http://codes.wmo.int/common/unit/m2_-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,metres to the two thirds power per second,m^2/3 s^-1,m2/3 s-1,metres to the two thirds power per second
'764',m^2 Hz^-1,m2/Hz,"",<http://codes.wmo.int/common/unit/m2_Hz-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,square metres per hertz,m^2 Hz^-1,m2/Hz,square metres per hertz
'763',m^2 rad^-1 s,m2 rad-1 s,"",<http://codes.wmo.int/common/unit/m2_rad-1_s>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,square metres per radian squared,m^2 rad^-1 s,m2 rad-1 s,square metres per radian squared
'761',m^2 s,m2 s,"",<http://codes.wmo.int/common/unit/m2_s>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,square metres second,m^2 s,m2 s,square metres second
'735',m^2 s^-1,m2/s,M2/S,<http://codes.wmo.int/common/unit/m2_s-1>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,square metres per second,m^2 s^-1,m2/s,square metres per second
'762',m^2 s^-2,m2 s-2,"",<http://codes.wmo.int/common/unit/m2_s-2>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,square metres per second squared,m^2 s^-2,m2 s-2,square metres per second squared
'765',m^3,m3,"",<http://codes.wmo.int/common/unit/m3>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,cubic metres,m^3,m3,cubic metres
'767',m^3 m^-3,m3 m-3,"",<http://codes.wmo.int/common/unit/m3_m-3>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,cubic metres per cubic metre,m^3 m^-3,m3 m-3,cubic metres per cubic metre
'766',m^3 s^-1,m3/s,"",<http://codes.wmo.int/common/unit/m3_s-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,cubic metres per second,m^3 s^-1,m3/s,cubic metres per second
'768',m^4,m4,"",<http://codes.wmo.int/common/unit/m4>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,metres to the fourth power,m^4,m4,metres to the fourth power
'753',mSv,mSv,MSV,<http://codes.wmo.int/common/unit/mSv>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,millisievert,mSv,mSv,millisievert
no,m,m,M,<http://codes.wmo.int/common/unit/m_pref>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,milli,m,m,milli
'731',m s^-1,m/s,M/S,<http://codes.wmo.int/common/unit/m_s-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,metres per second,m s^-1,m/s,metres per second
'733',m s^-1/1000 m,m s-1/km,"",<http://codes.wmo.int/common/unit/m_s-1_km-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,metres per second per 1000 metres,m s^-1/1000 m,m s-1/km,metres per second per 1000 metres
'732',m s^-1/m,m s-1/m,"",<http://codes.wmo.int/common/unit/m_s-1_m-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,metres per second per metre,m s^-1/m,m s-1/m,metres per second per metre
